email,company_id,name,sent_at,status
info@almrooj.ae,cb072c3b-6743-4d80-b3d6-9e41e39bd14b,Almrooj Building Contracting and Demolition company,2026-07-29 21:15,sent
info@mrfixer.ae,5f974c5f-7a85-40a9-938a-ec4e8f217032,Mr Fixer Home Maintenance,2026-07-29 21:16,sent
info@luxurycreativedesign.com,a6dc0aa6-f1eb-46b2-829e-138c719cdc70,LCD Interior LLC,2026-07-29 21:16,sent
info@villapaintingservicescollc.com,6c771611-b1c8-4a9a-809e-a66ff4d2c0f9,Villa Painting Services LLC,2026-07-29 21:16,sent
cs@yallarenovation.com,18bcff09-c06d-4fa7-8fd8-6eae14168ae7,Yalla Renovation LLC,2026-07-29 21:16,sent
aksingh1581998@gmail.com,39ccb4a9-8a7d-49f4-8533-1091c159208b,Samira Carpentry (BRANCH),2026-07-29 21:16,sent
georges.chahwan@reviverenovation.ae,bc98f92e-338b-466f-9e32-d6d9402f29a4,Revive Renovation,2026-07-29 21:16,sent
royalfitout@gmail.com,7b5835c3-1b81-4d31-bf29-444815ae49e3,Royal Fitout Decoration Design Dubai,2026-07-29 21:16,sent
info@handymanheroesdubai.com,6fcc1a5c-a344-4e48-b205-a6955ca1cc58,Handyman Heroes Dubai,2026-07-29 21:16,sent
info@desertrise.ae,34b1771b-76aa-4289-84e7-0675c7f97ece,Desert Rise Contracting & Renovations,2026-07-29 21:16,sent
info@alzadcarpentry.com,9960af8e-4393-4dec-8943-e52ed17807ce,Al Zad Carpentry.L.L.C,2026-07-29 21:16,sent
ashwani@haneefcarpentry.com,69100240-933d-4c3d-bf59-73fb13ed3ee2,Haneef Carpentry,2026-07-29 21:16,sent
say.hi.innerside@gmail.com,9e81b53f-959e-4673-8095-4203963afd5b,Creative Shelf LLC,2026-07-29 21:16,sent
info@design-infinity.com,376ce11b-dbe8-4ca8-bc66-3f95be331481,Design Infinity,2026-07-29 21:16,sent
info@alaustathcarpentry.com,e44267c1-683f-4d0f-ba8c-5608558b5ff4,Al Austath Carpentry,2026-07-29 21:16,sent
